suspect	candidate	pages	second_saw_suspect	second_saw_candidate	verdict	prior_confidence
ΑΛΟΥΤΗ	ΑΛΟΥΠΗ	0009a,0053a,0053b,0071a,0114a	0	5	candidate	medium
ΚΟΡΣΗΣ	ΚΟΡΖΗΣ	0025b,0031a,0045a,0058a,0097a,0099a	0	5	candidate	low
ΠΑΝΤΑΞΕΛΟΣ	ΠΑΝΤΑΖΕΛΟΣ	0005b,0140a,0172a	0	3	candidate	medium
ΛΟΓΙΑΝΙΚΟ	ΛΟΓΓΑΝΙΚΟ	0081a,0110a	0	3	candidate	medium
ΝΤΕΡΕΣ	ΝΤΕΡΟΣ	0030a	0	2	candidate	medium
ΣΙΟΥΡΔΑΣ	ΣΓΟΥΡΔΑΣ	0144a	0	2	candidate	medium
ΚΕΛΙΩΤΗΣ	ΧΕΛΙΩΤΗΣ	0048a,0065a	0	2	candidate	medium
ΠΑΡΑΤΟΝΟ	ΠΑΡΑΠΟΝΟ	0089a,0091a	0	2	candidate	low
ΣΙΩΤΗΣ	ΖΙΩΤΗΣ	0108a,0145a	0	2	candidate	low
ΔΟΣΟΥΛΑ	ΔΟΞΟΥΛΑ	0091a	0	2	candidate	low
ΡΑΓΙΖΟΥΝ	ΡΑΓΙΣΟΥΝ	0105a,0107a	0	2	candidate	low
ΠΕΑΛΑΝΑ	ΠΕΛΛΑΝΑ	0017b	0	1	candidate	medium
ΠΑΝΑΡ	ΠΑΝΑΓ	0046b	0	1	candidate	medium
ΑΠΟΡΙΑΝΗ	ΑΓΟΡΙΑΝΗ	0002a	0	1	candidate	medium
ΓΕΩΡΓΙΤΣΙΑΝΣΙ	ΓΕΩΡΓΙΤΣΙΑΝΟΙ	0035b	0	1	candidate	medium
ΜΠΕΛΑΝΗΣ	ΜΠΟΛΑΝΗΣ	0026a	0	1	candidate	medium
ΓΚΑΝΝΑΡΗ	ΓΙΑΝΝΑΡΗ	0083a	0	1	candidate	medium
ΤΟΙΧΛΗ	ΤΣΙΧΛΗ	0133a	0	1	candidate	medium
ΑΛΟΥΤΗΣ	ΑΛΟΥΠΗΣ	0053a	0	1	candidate	medium
ΩΡΛΙΩΤΕΡΟ	ΩΡΑΙΩΤΕΡΟ	0060a	0	1	candidate	medium
ΓΚΟΥΣΟΥΛΗΣ	ΓΚΟΥΖΟΥΛΗΣ	0020a,0035b,0051a,0075a	0	1	candidate	medium
ΕΛΕΥΩ	ΕΛΕΥΘ	0022b	0	1	candidate	medium
ΜΠΟΛΚΑ	ΜΠΕΛΚΑ	0009a	0	1	candidate	medium
ΕΡΑΣΙΔΟΥ	ΒΡΑΣΙΔΟΥ	0017a	0	1	candidate	medium
ΛΟΓΙΑΝΙΚΟΥ	ΛΟΓΓΑΝΙΚΟΥ	0110a	0	1	candidate	medium
ΠΑΡΑΒΑΔΟΣ	ΠΑΡΑΒΑΛΟΣ	0057b	0	1	candidate	medium
