verdict	suspect	suspect_count	candidate	candidate_count	freq_ratio	candidate_in_lexicon	confidence
one-known	ΕΙΠΑΙ	1	ΕΙΝΑΙ	1551	1551.0	True	high
one-known	ΣΙΟΥΣ	1	ΣΤΟΥΣ	350	350.0	True	high
one-known	ΓΙΑΤΡ	1	ΓΙΑΤΙ	229	229.0	True	high
one-known	ΡΑΜΟΙ	1	ΓΑΜΟΙ	220	220.0	True	high
one-known	ΤΕΩΡΓΙΟΥ	1	ΓΕΩΡΓΙΟΥ	155	155.0	True	high
one-known	ΕΠΙΤΙ	1	ΣΠΙΤΙ	143	143.0	True	high
one-known	ΟΠΟΡΑ	1	ΟΠΟΙΑ	140	140.0	True	high
one-known	ΑΗΜΗΤΡΙΟΣ	1	ΔΗΜΗΤΡΙΟΣ	132	132.0	True	high
one-known	ΑΠΑΝΤΑΚΟΥ	1	ΑΠΑΝΤΑΧΟΥ	109	109.0	True	high
one-known	ΣΕΝΟΔΟΧΕΙΟ	1	ΞΕΝΟΔΟΧΕΙΟ	106	106.0	True	high
one-known	ΑΦΑΝΑΣΙΟΣ	1	ΑΘΑΝΑΣΙΟΣ	100	100.0	True	high
one-known	ΑΘΗΝΑΞ	1	ΑΘΗΝΑΣ	93	93.0	True	high
one-known	ΛΟΓΓΑ	1	ΛΟΓΙΑ	86	86.0	True	high
one-known	ΣΥΓΚΑΡΗΤΗΡΙΑ	2	ΣΥΓΧΑΡΗΤΗΡΙΑ	170	85.0	True	high
one-known	ΑΦΑΝΑΣΙΟΥ	1	ΑΘΑΝΑΣΙΟΥ	81	81.0	True	high
one-known	ΜΠΑΛΚΕΝΙ	1	ΜΠΑΛΚΟΝΙ	77	77.0	True	high
one-known	ΜΗΑΛΚΟΝΙ	1	ΜΠΑΛΚΟΝΙ	77	77.0	True	high
one-known	ΔΡΟΝΟ	2	ΔΡΟΜΟ	153	76.5	True	high
one-known	ΚΟΠΤΑ	1	ΚΟΝΤΑ	75	75.0	True	high
one-known	ΑΗΜΟΥ	1	ΔΗΜΟΥ	75	75.0	True	high
one-known	ΜΟΜΟΥ	1	ΝΟΜΟΥ	75	75.0	True	high
one-known	ΣΤΥΡΟΣ	1	ΣΠΥΡΟΣ	74	74.0	True	high
one-known	ΠΑΝΤΟΛΗΣ	1	ΠΑΝΤΕΛΗΣ	70	70.0	True	high
one-known	ΑΧΤΟΥ	1	ΑΥΤΟΥ	67	67.0	True	high
one-known	ΤΑΥΤΕΤΟΥ	2	ΤΑΥΓΕΤΟΥ	123	61.5	True	high
one-known	ΕΡΤΟΥ	1	ΕΡΓΟΥ	59	59.0	True	high
one-known	ΔΥΚΟΥΡΓΟΥ	1	ΛΥΚΟΥΡΓΟΥ	55	55.0	True	high
one-known	ΚΕΥΤΣΗΣ	1	ΚΟΥΤΣΗΣ	54	54.0	True	high
one-known	ΑΛΔΩΝ	1	ΑΛΛΩΝ	46	46.0	True	high
one-known	ΣΤΑΛΙΟΥ	1	ΣΤΑΔΙΟΥ	46	46.0	True	high
one-known	ΚΑΤΣΙΚΟΥΣ	1	ΚΑΤΟΙΚΟΥΣ	44	44.0	True	high
one-known	ΟΥΧΕΤΑΙ	3	ΕΥΧΕΤΑΙ	131	43.7	True	high
one-known	ΚΑΝΟΥΗ	1	ΚΑΝΟΥΝ	42	42.0	True	high
one-known	ΧΟΡΙΤΣΑΚΙ	4	ΚΟΡΙΤΣΑΚΙ	167	41.8	True	high
one-known	ΛΙΟΝΥΣΙΟΣ	1	ΔΙΟΝΥΣΙΟΣ	41	41.0	True	high
one-known	ΔΙΟΝΥΣΤΟΣ	1	ΔΙΟΝΥΣΙΟΣ	41	41.0	True	high
one-known	ΑΘΑΝΑΣΤΟΥ	2	ΑΘΑΝΑΣΙΟΥ	81	40.5	True	high
one-known	ΑΛΕΥΤΟΥ	1	ΑΛΕΥΡΟΥ	40	40.0	True	high
one-known	ΝΙΚΡΟ	1	ΜΙΚΡΟ	38	38.0	True	high
one-known	ΔΑΚΩΝΙΑΣ	5	ΛΑΚΩΝΙΑΣ	185	37.0	True	high
one-known	ΑΔΗΘΕΙΑ	1	ΑΛΗΘΕΙΑ	34	34.0	True	high
one-known	ΚΟΙΜΟ	1	ΚΟΙΝΟ	31	31.0	True	high
one-known	ΒΟΥΛΙΑΡΜΕΝΗΣ	1	ΒΟΥΛΙΑΓΜΕΝΗΣ	30	30.0	True	high
one-known	ΔΗΜΟΣΒΕΝΗΣ	1	ΔΗΜΟΣΘΕΝΗΣ	29	29.0	True	high
one-known	ΘΡΥΣΗ	2	ΒΡΥΣΗ	53	26.5	True	high
one-known	ΤΟΠΕΣ	1	ΤΟΠΟΣ	26	26.0	True	high
one-known	ΕΛΕΠΕ	1	ΕΛΕΓΕ	26	26.0	True	high
one-known	ΜΕΝΤΡΕΑΛ	1	ΜΟΝΤΡΕΑΛ	26	26.0	True	high
one-known	ΑΕΡΟΤΟΡΩΝ	2	ΑΕΡΟΠΟΡΩΝ	51	25.5	True	high
one-known	ΛΗΜΗΤΡΗ	1	ΔΗΜΗΤΡΗ	25	25.0	True	high
one-known	ΚΡΥΣΠΑΛΛΑ	2	ΚΡΥΣΤΑΛΛΑ	49	24.5	True	high
one-known	ΚΕΝΤΟΣ	1	ΚΟΝΤΟΣ	24	24.0	True	high
one-known	ΤΑΖΙΑ	1	ΤΑΣΙΑ	24	24.0	True	high
one-known	ΤΑΞΙΑ	1	ΤΑΣΙΑ	24	24.0	True	high
one-known	ΤΑΣΚΑ	1	ΤΑΣΙΑ	24	24.0	True	high
one-known	ΝΕΑΡΣΙ	2	ΝΕΑΡΟΙ	47	23.5	True	high
one-known	ΜΕΤΒΑ	2	ΜΕΤΡΑ	47	23.5	True	high
one-known	ΚΑΡΑΛΑΜΠΟΣ	1	ΧΑΡΑΛΑΜΠΟΣ	23	23.0	True	high
one-known	ΜΑΡΟΥΛΑ	1	ΜΑΓΟΥΛΑ	23	23.0	True	high
one-known	ΜΑΤΟΥΛΑ	1	ΜΑΓΟΥΛΑ	23	23.0	True	high
