stem	token	count	confirm_as_name
ΑΓΑΘΩ	ΑΓΑΘΩ	4	
ΑΓΕΡΑ	ΑΓΕΡΑΝΗ	8	
ΑΓΙΑΝ	ΑΓΙΑΝΝΗ	10	
ΑΓΙΟΘ	ΑΓΙΟΘΑΝΑΣΗ	3	
ΑΓΟΡΙ	ΑΓΟΡΙΑΝΗ	109	
ΑΓΟΡΙ	ΑΓΟΡΙΑΝΗΣ	39	
ΑΓΡΙΑ	ΑΓΡΙΑΝΙΚΟΥ	3	
ΑΔΑΚΗ	ΑΔΑΚΗΣ	3	
ΑΔΑΜΑ	ΑΔΑΜΑΚΟΥ	3	
ΑΔΑΜΗ	ΑΔΑΜΗ	22	
ΑΖΩΤΗ	ΑΖΩΤΗΣ	3	
ΑΘΑΝ	ΑΘΑΝ	111	
ΑΘΑΝΑ	ΑΘΑΝΑΣΙΟΝ	8	
ΑΘΑΝΑ	ΑΘΑΝΑΣΟΥΛΑΣ	5	
ΑΘΑΝΑ	ΑΘΑΝΑΣΟΥΛΑ	5	
ΑΘΑΡΗ	ΑΘΑΡΗΣ	3	
ΑΙΣΙΜ	ΑΙΣΙΜΑ	3	
ΑΚΡΟΤ	ΑΚΡΟΤΟΙΧΑ	3	
ΑΛΑΤΣ	ΑΛΑΤΣΑ	3	
ΑΛΕΞ	ΑΛΕΞ	8	
ΑΛΕΥΤ	ΑΛΕΥΤΗΣ	4	
ΑΛΚΥΡ	ΑΛΚΥΡΟΥΣ	3	
ΑΛΟΥΠ	ΑΛΟΥΠΗ	30	
ΑΛΟΥΠ	ΑΛΟΥΠΗΣ	28	
ΑΛΟΥΣ	ΑΛΟΥΣΗΣ	7	
ΑΛΟΥΣ	ΑΛΟΥΣΗ	4	
ΑΛΟΥΤ	ΑΛΟΥΤΗ	5	
ΑΜΕΡΙ	ΑΜΕΡΙΚΗΝ	14	
ΑΜΟΙΒ	ΑΜΟΙΒΑΙΑΝ	11	
ΑΝΑΒΛ	ΑΝΑΒΛΑΣΤΑΝΕΙ	3	
ΑΝΑΓ	ΑΝΑΓ	3	
ΑΝΑΠΤ	ΑΝΑΠΤΥΞΙΝ	3	
ΑΝΑΣΤ	ΑΝΑΣΤ	23	
ΑΝΔΡ	ΑΝΔΡ	13	
ΑΝΔΡΙ	ΑΝΔΡΙΑΝΟΣ	13	
ΑΝΔΡΙ	ΑΝΔΡΙΑΝΑΚΗΣ	6	
ΑΝΔΡΙ	ΑΝΔΡΙΑΝΟ	4	
ΑΝΕΓΕ	ΑΝΕΓΕΡΣΙΝ	5	
ΑΝΕΓΕ	ΑΝΕΓΕΡΣΙ	3	
ΑΝΕΜΟ	ΑΝΕΜΟΔΟΥΡΙΩΤΗΣ	4	
ΑΝΘΡΟ	ΑΝΘΡΟΥΣΣΑ	3	
ΑΝΘΡΩ	ΑΝΘΡΩΠΟΝ	6	
ΑΝΝΗΣ	ΑΝΝΗΣ	3	
ΑΝΤΙΚ	ΑΝΤΙΚΗΣ	3	
ΑΝΤΟΝ	ΑΝΤΟΝΑΡΑΚΟΥ	5	
ΑΝΤΟΝ	ΑΝΤΟΝΙΟΥ	3	
ΑΝΤΩΝ	ΑΝΤΩΝΙΑ	8	
ΑΝΤΩΝ	ΑΝΤΩΝΑΡΑΚΟΥ	5	
ΑΟΓΓΑ	ΑΟΓΓΑΝΙΚΟΣ	3	
ΑΟΥΛΟ	ΑΟΥΛΟ	3	
ΑΠΑΝΟ	ΑΠΑΝΟΥ	7	
ΑΠΕΔΗ	ΑΠΕΔΗΩΣΕ	7	
ΑΠΕΘΑ	ΑΠΕΘΑΝΕ	19	
ΑΠΕΧΩ	ΑΠΕΧΩΡΗΣΕ	3	
ΑΠΟΡΙ	ΑΠΟΡΙΑΝ	4	
ΑΠΟΣΤ	ΑΠΟΣΤ	6	
ΑΠΟΣΤ	ΑΠΟΣΤΟΛΑΚΟΥ	5	
ΑΠΟΦΑ	ΑΠΟΦΑΣΙΝ	3	
ΑΡΑΧΩ	ΑΡΑΧΩΒΑ	5	
ΑΡΓΕΙ	ΑΡΓΕΙΤΑΚΟΣ	4	
ΑΡΓΥΡ	ΑΡΓΥΡΩ	4	
ΑΡΔΑΝ	ΑΡΔΑΝΙΤΗΣ	13	
ΑΡΔΑΝ	ΑΡΔΑΝΙΤΗ	10	
ΑΡΘΡ	ΑΡΘΡ	3	
ΑΡΙΘ	ΑΡΙΘ	49	
ΑΡΙΣΤ	ΑΡΙΣΤ	38	
ΑΡΙΣΤ	ΑΡΙΣΤΟΜΕΝΟΥΣ	6	
ΑΡΙΩΝ	ΑΡΙΩΝΟΣ	3	
ΑΡΡΑΒ	ΑΡΡΑΒΩΝΙΑΣΘΗ	5	
ΑΡΧΙΜ	ΑΡΧΙΜΑΝΔΡΙΤΟΥ	18	
ΑΡΧΙΜ	ΑΡΧΙΜ	3	
ΑΣΗΜΑ	ΑΣΗΜΑΚΟΠΟΥΛΟΥ	4	
ΑΣΗΜΑ	ΑΣΗΜΑΚΟΠΟΥΛΟΣ	3	
ΑΣΚΛΗ	ΑΣΚΛΗΡΟ	4	
ΑΣΟΚ	ΑΣΟΚ	3	
ΑΤΡΟΣ	ΑΤΡΟΣ	3	
ΑΥΣΤΡ	ΑΥΣΤΡΑΛΙΑΝ	6	
ΑΦΙΣΕ	ΑΦΙΣΕΙΣ	13	
ΑΦΙΧΘ	ΑΦΙΧΘΗ	8	
ΑΦΩΝ	ΑΦΩΝ	22	
ΒΑΘΜ	ΒΑΘΜ	4	
ΒΑΙΔΑ	ΒΑΙΔΑΚΗΣ	6	
ΒΑΙΔΑ	ΒΑΙΔΑΚΗ	5	
ΒΑΛΑΣ	ΒΑΛΑΣΗ	11	
ΒΑΠΤΙ	ΒΑΠΤΙΣΙΑ	5	
ΒΑΠΤΙ	ΒΑΠΤΙΣΙΜΑ	3	
ΒΑΡΒΑ	ΒΑΡΒΑΡΑΣ	5	
ΒΑΡΙΛ	ΒΑΡΙΛΑΣ	7	
ΒΑΡΙΛ	ΒΑΡΙΛΑ	3	
ΒΑΡΛΑ	ΒΑΡΛΑ	4	
ΒΑΡΟΥ	ΒΑΡΟΥΤΣΟΣ	8	
ΒΑΡΟΥ	ΒΑΡΟΥΤΣΟΥ	6	
ΒΑΣΙΛ	ΒΑΣΙΛ	11	
ΒΑΣΙΛ	ΒΑΣΙΛΕ	4	
ΒΑΣΙΛ	ΒΑΣΙΛΑΚΟΣ	3	
ΒΕΛΙΓ	ΒΕΛΙΓΟΣΤΗ	8	
ΒΕΛΜΙ	ΒΕΛΜΙΝΑΤΙΔΑΣ	3	
ΒΕΝΙΟ	ΒΕΝΙΟΠΟΥΛΟΥ	6	
ΒΕΡΓΑ	ΒΕΡΓΑΔΟΥ	43	
ΒΕΡΓΑ	ΒΕΡΓΑΔΟΣ	16	
ΒΕΡΓΑ	ΒΕΡΓΑΔΕΙΚΑ	11	
ΒΕΡΓΗ	ΒΕΡΓΗΔΟΥ	3	
ΒΕΡΤΑ	ΒΕΡΤΑΔΟΣ	5	
ΒΙΔΗ	ΒΙΔΗ	3	
ΒΙΩΤΕ	ΒΙΩΤΕΡΑ	3	
ΒΛΑΧΑ	ΒΛΑΧΑΚΗ	13	
ΒΛΑΧΑ	ΒΛΑΧΑΚΗΣ	10	
ΒΛΑΧΑ	ΒΛΑΧΑΝΗΣ	3	
ΒΛΑΧΙ	ΒΛΑΧΙΩΤΗ	6	
ΒΟΗΘΕ	ΒΟΗΘΕΙΑΝ	3	
ΒΟΝΙΟ	ΒΟΝΙΟΣ	40	
ΒΟΝΙΟ	ΒΟΝΙΟΥ	20	
ΒΟΝΟΣ	ΒΟΝΟΣ	11	
ΒΟΝΟΥ	ΒΟΝΟΥ	4	
ΒΟΡΔΟ	ΒΟΡΔΟΝΙΑ	6	
ΒΟΡΔΟ	ΒΟΡΔΟΝΙΑΣ	4	
ΒΟΡΔΩ	ΒΟΡΔΩΝΙΑ	7	
ΒΟΡΕΙ	ΒΟΡΕΙΟΔΗΜΟΤΕΣ	17	
ΒΟΡΕΙ	ΒΟΡΕΙΟΔΗΜΟΤΩΝ	9	
ΒΟΡΙΛ	ΒΟΡΙΛΑΣ	22	
ΒΟΡΙΛ	ΒΟΡΙΛΑ	7	
ΒΟΣΤΩ	ΒΟΣΤΩΝΗΣ	6	
ΒΟΥΡΔ	ΒΟΥΡΔΟΥΣΗΣ	3	
ΒΟΥΤΙ	ΒΟΥΤΙΑΝΟΥΣ	4	
ΒΟΥΤΙ	ΒΟΥΤΙΑΝΩΝ	3	
ΒΡΑΣΙ	ΒΡΑΣΙΔΟΥ	19	
ΒΡΑΣΙ	ΒΡΑΣΙΝΗ	3	
ΒΡΑΤΟ	ΒΡΑΤΟΙΝΗ	3	
ΒΡΑΤΣ	ΒΡΑΤΣΙΝΗΣ	15	
ΒΡΑΤΣ	ΒΡΑΤΣΙΝΗ	12	
ΒΡΑΤΣ	ΒΡΑΤΣΩΝΗ	3	
ΒΡΗΤΕ	ΒΡΗΤΕ	19	
ΒΡΥΣΙ	ΒΡΥΣΙΩΤΙΚΑ	11	
ΒΡΥΣΩ	ΒΡΥΣΩΤΙΚΑ	6	
ΒΥΖΑΝ	ΒΥΖΑΝΤΙΝ	10	
ΒΥΝΙΟ	ΒΥΝΙΟΣ	47	
ΒΥΝΙΟ	ΒΥΝΙΟΥ	22	
ΒΥΝΙΟ	ΒΥΝΙΟ	3	
ΒΥΝΟΣ	ΒΥΝΟΣ	14	
ΒΥΡΗΣ	ΒΥΡΗΣ	3	
ΓΑΛΑΚ	ΓΑΛΑΚΑ	4	
ΓΑΛΕΚ	ΓΑΛΕΚΑ	15	
ΓΑΛΕΚ	ΓΑΛΕΚΑΣ	12	
ΓΑΜΟΝ	ΓΑΜΟΝ	3	
ΓΑΠΗ	ΓΑΠΗ	15	
ΓΑΠΗΜ	ΓΑΠΗΜΕΝΕ	3	
ΓΑΠΗΤ	ΓΑΠΗΤΟ	6	
ΓΑΠΟ	ΓΑΠΟ	5	
ΓΓΟΝΙ	ΓΓΟΝΙΑ	4	
ΓΓΡΑΦ	ΓΓΡΑΦΟ	3	
ΓΕΓΟΝ	ΓΕΓΟΝ	5	
ΓΕΝΕ	ΓΕΝΕ	5	
ΓΕΝΕΤ	ΓΕΝΕΤΙΚ	3	
ΓΕΝΙΚ	ΓΕΝΙΚ	11	
ΓΕΝΙΚ	ΓΕΝΙΚΗΝ	7	
ΓΕΡΜΑ	ΓΕΡΜΑΝΙΑΝ	4	
ΓΕΡΟΥ	ΓΕΡΟΥΛΑΚΟΥ	3	
ΓΕΡΟΥ	ΓΕΡΟΥΛΑΚΟΣ	3	
ΓΕΩΒΑ	ΓΕΩΒΑΝΝΑ	4	
ΓΕΩΡ	ΓΕΩΡ	146	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙ	897	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΟΥ	328	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΩΝ	185	
ΓΕΩΡΓ	ΓΕΩΡΓ	164	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΟΙ	89	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΑΙ	38	
ΓΕΩΡΓ	ΓΕΩΡΓΟΥΛΗΣ	37	
ΓΕΩΡΓ	ΓΕΩΡΓΟΠΟΥΛΟΣ	37	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΟΥΣ	35	
ΓΕΩΡΓ	ΓΕΩΡΓΟΥΛΗ	30	
ΓΕΩΡΓ	ΓΕΩΡΓΟΠΟΥΛΟΥ	29	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΟΝ	28	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΑΙΟΥ	18	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΟΣ	16	
ΓΕΩΡΓ	ΓΕΩΡΓΙΟΝ	14	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΗΣ	12	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΙΚΟ	12	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΩΤΕΣ	10	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΑ	8	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΙΚΑ	8	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΩΝ	8	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΩΤΩΝ	6	
ΓΕΩΡΓ	ΓΕΩΡΓΙΑΣΙΟΥ	6	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΗ	6	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΙΚΗ	6	
ΓΕΩΡΓ	ΓΕΩΡΓΑΚΑΚΗ	5	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑ	5	
ΓΕΩΡΓ	ΓΕΩΡΓΙΣΤΙΟΥ	5	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΑΝΟΥ	4	
ΓΕΩΡΓ	ΓΕΩΡΓΗΤΣΙ	4	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΟΥ	4	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΚΩΝ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΑΙΝΩΝ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΑΚΟΠΟΥΛΟΥ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΑΚΑΚΗ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΟΠΟΥΛΟ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΙΚΟΥ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΝΩΝ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΣΤΗ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΗΤΙΑΝΟΙ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΟ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΟΤΣΙΟΥ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΑΙΟΙ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΙΤΑΚΙΑ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΣΤΙ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΑΙΟΥΣ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΗ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΑΤΙΟΥ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΥΤΣΙ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΟ	3	
ΓΕΩΡΓ	ΓΕΩΡΓΙΤΣΙΑΝΟΥ	3	
ΓΕΩΡΟ	ΓΕΩΡΟΥΣΙΩΤΩΝ	4	
ΓΙΑΝ	ΓΙΑΝ	8	
ΓΙΑΝΑ	ΓΙΑΝΑΡΗΣ	17	
ΓΙΑΝΑ	ΓΙΑΝΑΡΗ	11	
ΓΙΑΝΝ	ΓΙΑΝΝΑΚΑΚΗΣ	169	
ΓΙΑΝΝ	ΓΙΑΝΝΑΡΗΣ	98	
ΓΙΑΝΝ	ΓΙΑΝΝΑΚΑΚΗ	97	
ΓΙΑΝΝ	ΓΙΑΝΝΑΡΗ	57	
ΓΙΑΝΝ	ΓΙΑΝΝΑΚΑΚΗΝ	6	
ΓΙΑΝΝ	ΓΙΑΝΝΟΥΛΗ	4	
ΓΙΑΝΝ	ΓΙΑΝΝΑΚΑ	3	
ΓΙΑΝΝ	ΓΙΑΝΝΑΚΙΚΗ	3	
ΓΙΑΝΝ	ΓΙΑΝΝΙΟΥΛΗ	3	
ΓΙΑΝΝ	ΓΙΑΝΝΙΚΑΚΗΣ	3	
ΓΙΑΤ	ΓΙΑΤ	8	
ΓΙΑΤΡ	ΓΙΑΤΡΑΚΟΥ	18	
ΓΙΑΤΡ	ΓΙΑΤΡΑΚΟ	7	
ΓΙΑΤΡ	ΓΙΑΤΡΟΚΟΣ	3	
ΓΙΝΑΝ	ΓΙΝΑΝ	7	
ΓΙΟΡΤ	ΓΙΟΡΤ	4	
ΓΙΩΡ	ΓΙΩΡ	3	
ΓΙΩΡΓ	ΓΙΩΡΓΙΤΣΙ	28	
ΓΙΩΡΓ	ΓΙΩΡΓ	26	
ΓΙΩΡΓ	ΓΙΩΡΓΙΟΣ	6	
ΓΙΩΡΓ	ΓΙΩΡΓΙΤΣΗΣ	4	
ΓΙΩΡΓ	ΓΙΩΡΓΙΤΣΙΟΥ	4	
ΓΚΑΡΔ	ΓΚΑΡΔΙΑ	5	
ΓΚΑΤΑ	ΓΚΑΤΑΣΤΑΘΗΚΑΝ	3	
ΓΚΛΑΚ	ΓΚΛΑΚΑΣ	4	
ΓΚΛΑΚ	ΓΚΛΑΚΑ	3	
ΓΚΛΕΚ	ΓΚΛΕΚΑΣ	129	
ΓΚΛΕΚ	ΓΚΛΕΚΑ	81	
ΓΚΛΕΚ	ΓΚΛΕΚΗΣ	3	
ΓΚΛΕΚ	ΓΚΛΕΚΕΙΚΑ	3	
ΓΚΛΕΚ	ΓΚΛΕΚΑΝ	3	
ΓΚΟΡΤ	ΓΚΟΡΤΣΟΛΟΓΟΥ	4	
ΓΚΟΥΖ	ΓΚΟΥΖΟΥΛΗΣ	90	
ΓΚΟΥΖ	ΓΚΟΥΖΟΥΛΗ	72	
ΓΚΟΥΖ	ΓΚΟΥΖΟΥΛΙΚΟΙ	3	
ΓΚΟΥΣ	ΓΚΟΥΣΟΥΛΗΣ	4	
ΓΚΥΡ	ΓΚΥΡ	9	
ΓΚΥΡΓ	ΓΚΥΡΓΙΤΣΙ	6	
ΓΚΥΡΓ	ΓΚΥΡΓΙΤΣΙΟΥ	3	
ΓΝΩΜΟ	ΓΝΩΜΟΣΥΝΗ	3	
ΓΝΩΡΙ	ΓΝΩΡΙΖΟΜΕΝ	4	
ΓΟΜΑΤ	ΓΟΜΑΤΟΣ	13	
ΓΟΜΑΤ	ΓΟΜΑΤΟΥ	8	
ΓΟΡΑΚ	ΓΟΡΑΚΙ	8	
ΓΟΡΙΑ	ΓΟΡΙΑΝΗ	6	
ΓΡΑΜ	ΓΡΑΜ	3	
ΓΡΑΜΜ	ΓΡΑΜΜΑΤΕ	3	
ΓΡΗΓ	ΓΡΗΓ	7	
ΓΡΗΓΟ	ΓΡΗΓΟΡΑΚΗΣ	3	
ΓΡΙΔΑ	ΓΡΙΔΑΣ	8	
ΓΡΙΔΑ	ΓΡΙΔΑ	5	
ΓΡΙΜΠ	ΓΡΙΜΠΑ	4	
ΓΥΙΟΣ	ΓΥΙΟΣ	5	
ΓΥΝΑ	ΓΥΝΑ	4	
ΔΑΔΑΚ	ΔΑΔΑΚΗΣ	6	
ΔΑΔΑΚ	ΔΑΔΑΚΗ	3	
ΔΑΚΕΔ	ΔΑΚΕΔΑΙΜΟΝΙΩΝ	4	
ΔΑΚΩΝ	ΔΑΚΩΝΙΑΣ	5	
ΔΑΠΤΙ	ΔΑΠΤΙΣΕ	6	
ΔΑΡΒΙ	ΔΑΡΒΙΡΗΣ	5	
ΔΑΡΒΙ	ΔΑΡΒΙΡΗ	4	
ΔΑΣΕΙ	ΔΑΣΕΙ	5	
ΔΑΣΚΑ	ΔΑΣΚΑΛΟΠΟΥΛΟΣ	3	
ΔΑΧΑΡ	ΔΑΧΑΡΟΠΛΑΣΤΙΚΗΣ	5	
ΔΔΙΔΑ	ΔΔΙΔΑΣ	4	
ΔΔΟΣ	ΔΔΟΣ	3	
ΔΕΔΟΥ	ΔΕΔΟΥΣΗΣ	29	
ΔΕΔΟΥ	ΔΕΔΟΥΣΗ	9	
ΔΕΔΟΥ	ΔΕΔΟΥΤΗΣ	4	
ΔΕΔΟΥ	ΔΕΔΟΥΤΗ	3	
ΔΕΛΤ	ΔΕΛΤ	30	
ΔΕΛΦ	ΔΕΛΦ	4	
ΔΕΛΦΟ	ΔΕΛΦΟΝ	3	
ΔΕΜΠΕ	ΔΕΜΠΕΛΗΣ	3	
ΔΕΧΑΣ	ΔΕΧΑΣΤΟ	4	
ΔΗΛΑΔ	ΔΗΛΑΔ	4	
ΔΗΜΑΚ	ΔΗΜΑΚΟΣ	13	
ΔΗΜΑΚ	ΔΗΜΑΚΟΥ	6	
ΔΗΜΗΤ	ΔΗΜΗΤΡΟΠΟΥΛΟΣ	19	
ΔΗΜΗΤ	ΔΗΜΗΤΡΟΠΟΥΛΟΥ	5	
ΔΗΜΗΤ	ΔΗΜΗΤΡΑΚΑΚΗΣ	4	
ΔΗΜΗΤ	ΔΗΜΗΤΡ	4	
ΔΗΜΗΤ	ΔΗΜΗΤΡΟΠΟΥΛΟ	4	
ΔΗΜΗΤ	ΔΗΜΗΤΡΙΑΚΑΚΗ	4	
ΔΗΜΗΤ	ΔΗΜΗΤΡΙΟΝ	3	
ΔΗΜΟΝ	ΔΗΜΟΝ	8	
ΔΗΜΟΠ	ΔΗΜΟΠΟΥΛΟΥ	7	
ΔΗΜΟΣ	ΔΗΜΟΣΘ	16	
ΔΙΑΘΕ	ΔΙΑΘΕΣΙΝ	6	
ΔΙΑΘΕ	ΔΙΑΘΕΤΟΥ	3	
ΔΙΑΜΑ	ΔΙΑΜΑΝΤΟΙ	5	
ΔΙΑΜΑ	ΔΙΑΜΑΝΤΟΥΛΑ	4	
ΔΙΑΝΟ	ΔΙΑΝΟΙΧΘΕΙ	3	
ΔΙΑΤΙ	ΔΙΑΤΙ	4	
ΔΙΑΦΟ	ΔΙΑΦΟΡ	3	
ΔΙΔΟΣ	ΔΙΔΟΣ	12	
ΔΙΕΝ	ΔΙΕΝ	3	
ΔΙΕΝΥ	ΔΙΕΝΥΣΙΟΣ	3	
ΔΙΕΤΗ	ΔΙΕΤΗΡΗΘΗ	3	
ΔΙΚΗΓ	ΔΙΚΗΓΟΡΟΝ	3	
ΔΙΟΙΚ	ΔΙΟΙΚΗΤΙΚΟΝ	5	
ΔΙΟΙΚ	ΔΙΟΙΚ	5	
ΔΙΟΙΚ	ΔΙΟΙΚΗΤΙΚ	3	
ΔΙΟΡΘ	ΔΙΟΡΘΩΣΙΝ	6	
ΔΙΟΤΗ	ΔΙΟΤΗΤΕΣ	3	
ΔΙΡΟΥ	ΔΙΡΟΥ	5	
ΔΙΩΤΙ	ΔΙΩΤΙΚ	3	
ΔΟΛΛΑ	ΔΟΛΛΑΡΙΑ	3	
ΔΟΝΤΙ	ΔΟΝΤΙΑΤΡΟΥ	3	
ΔΟΞΙΟ	ΔΟΞΙΟΥΛΑ	3	
ΔΟΟΣ	ΔΟΟΣ	4	
ΔΟΤΑΝ	ΔΟΤΑΝΑ	3	
ΔΟΥΝΑ	ΔΟΥΝΑ	5	
ΔΟΥΝΟ	ΔΟΥΝΟΥ	6	
ΔΟΥΝΟ	ΔΟΥΝΟ	4	
ΔΟΥΣ	ΔΟΥΣ	3	
ΔΡΑΧ	ΔΡΑΧ	40	
ΔΡΟΜΟ	ΔΡΟΜΟΝ	4	
ΔΡΟΧΗ	ΔΡΟΧΗ	3	
ΔΡΥΣΗ	ΔΡΥΣΗ	10	
ΔΥΝΑΜ	ΔΥΝΑΜΙ	3	
