level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2584	3558	-1	
2	1	1	0	0	0	0	32	2565	22	-1	
3	1	1	1	0	0	0	32	2565	22	-1	
4	1	1	1	1	0	0	32	2565	22	-1	
5	1	1	1	1	1	0	32	2565	22	95.000000	 
2	1	2	0	0	0	64	1548	10	121	-1	
3	1	2	1	0	0	64	1548	10	121	-1	
4	1	2	1	1	0	64	1548	10	121	-1	
5	1	2	1	1	1	64	1548	10	121	4.524452	......
2	1	3	0	0	0	156	1801	662	32	-1	
3	1	3	1	0	0	156	1801	662	32	-1	
4	1	3	1	1	0	156	1801	662	32	-1	
5	1	3	1	1	1	156	1801	161	31	0.000000	παράξενο
5	1	3	1	1	2	311	1807	42	18	96.288872	να
5	1	3	1	1	3	359	1801	121	21	96.226387	κλείνουν
5	1	3	1	1	4	487	1807	30	26	95.940422	οι
5	1	3	1	1	5	528	1801	149	32	19.784637	δεξαμενές
5	1	3	1	1	6	688	1809	31	23	92.107697	το
5	1	3	1	1	7	730	1801	88	33	75.446602	πρωῖ..
2	1	4	0	0	0	183	274	2003	298	-1	
3	1	4	1	0	0	183	274	2003	298	-1	
4	1	4	1	1	0	183	274	2003	298	-1	
5	1	4	1	1	1	183	274	2003	298	95.000000	 
2	1	5	0	0	0	277	591	355	52	-1	
3	1	5	1	0	0	277	591	355	52	-1	
4	1	5	1	1	0	277	591	355	19	-1	
5	1	5	1	1	1	277	591	110	18	48.888954	ΝΕΑΡΟΙ
5	1	5	1	1	2	401	591	231	19	40.537743	ΓΕΩΡΥΙΤΣΙΑΝΟΙ
4	1	5	1	2	0	280	620	349	23	-1	
5	1	5	1	2	1	280	620	159	20	25.172180	ΑΣΑΠΗΣΤΕ
5	1	5	1	2	2	452	620	177	23	58.784374	ΦΔΦΡΥΧΑ...,
2	1	6	0	0	0	474	674	390	7	-1	
3	1	6	1	0	0	474	674	390	7	-1	
4	1	6	1	1	0	474	674	390	7	-1	
5	1	6	1	1	1	474	674	390	7	95.000000	 
2	1	7	0	0	0	175	692	697	20	-1	
3	1	7	1	0	0	175	692	697	20	-1	
4	1	7	1	1	0	175	692	697	20	-1	
5	1	7	1	1	1	175	692	92	17	72.344643	ΟΡΓΑΜΟ
5	1	7	1	1	2	290	692	146	19	65.276550	ΣΥΝΔΕΣΕΩΣ
5	1	7	1	1	3	456	693	48	18	90.200279	ΤΩΝ
5	1	7	1	1	4	522	693	150	18	86.162491	ΑΠΑΝΤΑΧΟΥ
5	1	7	1	1	5	695	694	177	18	48.248131	ΓΕΩΡΓΙΤΣΙΑΝΩ
2	1	8	0	0	0	184	733	336	5	-1	
3	1	8	1	0	0	184	733	336	5	-1	
4	1	8	1	1	0	184	733	336	5	-1	
5	1	8	1	1	1	184	733	336	5	95.000000	 
2	1	9	0	0	0	697	600	1042	63	-1	
3	1	9	1	0	0	697	600	1042	63	-1	
4	1	9	1	1	0	697	600	1042	63	-1	
5	1	9	1	1	1	697	600	86	41	86.441887	Το
5	1	9	1	1	2	804	600	381	46	44.351578	ΜΠΑΛΗΜΟΝΙ
5	1	9	1	1	3	1205	605	134	58	94.879959	ΤΟΥ
5	1	9	1	1	4	1367	607	88	40	0.013344	ΤΑ
5	1	9	1	1	5	1527	607	212	45	77.543602	ΓΕΤΟΥ
2	1	10	0	0	0	884	677	504	10	-1	
3	1	10	1	0	0	884	677	504	10	-1	
4	1	10	1	1	0	884	677	504	10	-1	
5	1	10	1	1	1	884	677	504	10	95.000000	 
2	1	11	0	0	0	1985	88	362	169	-1	
3	1	11	1	0	0	1985	88	154	58	-1	
4	1	11	1	1	0	1985	88	154	58	-1	
5	1	11	1	1	1	1985	88	154	58	0.000000	ρωσ
3	1	11	2	0	0	2004	124	343	101	-1	
4	1	11	2	1	0	2170	126	127	26	-1	
5	1	11	2	1	1	2170	126	47	26	0.000000	Στο
5	1	11	2	1	2	2282	140	15	11	5.553322	Τρω
4	1	11	2	2	0	2022	118	325	70	-1	
5	1	11	2	2	1	2022	118	256	70	0.000000	αμ.
5	1	11	2	2	2	2297	136	50	22	0.000000	ρυ
4	1	11	2	3	0	1995	171	324	86	-1	
5	1	11	2	3	1	1995	171	59	52	63.422363	ΧΑ.
5	1	11	2	3	2	2031	173	162	75	14.622269	ΛΑΝΑΡ/.
5	1	11	2	3	3	2201	194	72	63	0.000000	--
5	1	11	2	3	4	2278	194	41	60	72.345108	8.
2	1	12	0	0	0	2285	229	90	38	-1	
3	1	12	1	0	0	2285	229	90	38	-1	
4	1	12	1	1	0	2285	229	90	38	-1	
5	1	12	1	1	1	2285	229	90	38	95.000000	 
2	1	13	0	0	0	2241	286	31	287	-1	
3	1	13	1	0	0	2241	286	31	287	-1	
4	1	13	1	1	0	2242	286	30	49	-1	
5	1	13	1	1	1	2242	276	32	59	0.000000	ἔ
4	1	13	1	2	0	2249	359	22	43	-1	
5	1	13	1	2	1	2249	359	22	43	36.096554	.
4	1	13	1	3	0	2245	402	18	22	-1	
5	1	13	1	3	1	2245	402	18	22	41.068211	να
4	1	13	1	4	0	2241	440	29	61	-1	
5	1	13	1	4	1	2241	440	29	61	62.616142	ξ
4	1	13	1	5	0	2241	504	28	69	-1	
5	1	13	1	5	1	2241	504	28	69	0.000000	:
2	1	14	0	0	0	1842	604	360	49	-1	
3	1	14	1	0	0	1842	604	360	49	-1	
4	1	14	1	1	0	1842	604	360	20	-1	
5	1	14	1	1	1	1842	604	140	19	92.617729	ΠΟΥΦΕΝΑ
5	1	14	1	1	2	1994	605	35	18	92.951965	ΔΕ
5	1	14	1	1	3	2042	606	40	17	92.743019	ΦΑ
5	1	14	1	1	4	2096	605	106	19	92.724739	ΒΡΕΙΤΕ
4	1	14	1	2	0	1874	633	277	20	-1	
5	1	14	1	2	1	1874	633	171	20	52.208900	ΟΡΑΙΩΤΕΡΟ
5	1	14	1	2	2	2058	634	93	19	28.730469	χΧΏΡΙΟ
2	1	15	0	0	0	1602	684	630	11	-1	
3	1	15	1	0	0	1602	684	630	11	-1	
4	1	15	1	1	0	1602	684	630	11	-1	
5	1	15	1	1	1	1602	684	630	11	95.000000	 
2	1	16	0	0	0	886	694	197	22	-1	
3	1	16	1	0	0	886	694	197	22	-1	
4	1	16	1	1	0	886	694	197	22	-1	
5	1	16	1	1	1	886	694	47	22	90.696205	έπος
5	1	16	1	1	2	949	695	49	18	17.280617	19δν
5	1	16	1	1	3	1016	696	67	19	0.000000	ΦΥ.
2	1	17	0	0	0	527	735	854	12	-1	
3	1	17	1	0	0	527	735	854	12	-1	
4	1	17	1	1	0	527	735	854	12	-1	
5	1	17	1	1	1	527	735	854	12	95.000000	 
2	1	18	0	0	0	207	792	646	80	-1	
3	1	18	1	0	0	207	792	646	80	-1	
4	1	18	1	1	0	207	792	646	80	-1	
5	1	18	1	1	1	207	793	53	58	85.054367	Η
5	1	18	1	1	2	285	792	156	71	96.183197	αξία
5	1	18	1	1	3	482	814	119	40	96.967484	του
5	1	18	1	1	4	634	797	219	75	95.378838	νερού.
2	1	19	0	0	0	167	911	712	546	-1	
3	1	19	1	0	0	167	911	712	546	-1	
4	1	19	1	1	0	268	911	503	28	-1	
5	1	19	1	1	1	268	922	6	3	0.000000	τν
5	1	19	1	1	2	315	907	72	36	0.000000	ζμβστό
5	1	19	1	1	3	402	907	153	36	11.500305	Βυσωπαωκή
5	1	19	1	1	4	573	912	160	27	35.397942	Εφημερίδα)
4	1	19	1	2	0	198	962	681	31	-1	
5	1	19	1	2	1	198	962	86	21	72.938438	«΄Ἑνα
5	1	19	1	2	2	301	963	93	29	96.351707	ποτήρι
5	1	19	1	2	3	409	963	63	29	96.838127	νερό
5	1	19	1	2	4	487	963	87	27	94.397476	αξίζει
5	1	19	1	2	5	593	963	49	22	96.299431	όσο
5	1	19	1	2	6	655	964	122	29	96.213028	χιλιάδες
5	1	19	1	2	7	792	964	87	21	96.682487	τόννοι
4	1	19	1	3	0	167	997	712	32	-1	
5	1	19	1	3	1	167	997	151	29	96.633202	πετρέλαιο,
5	1	19	1	3	2	333	998	74	27	96.720413	γιατί
5	1	19	1	3	3	419	998	65	22	96.757568	όταν
5	1	19	1	3	4	496	998	63	27	96.138252	ένας
5	1	19	1	3	5	569	999	141	29	93.014053	άνθρωπος
5	1	19	1	3	6	725	1000	96	29	13.163132	διψάει;
5	1	19	1	3	7	834	999	45	24	95.500542	δεν
4	1	19	1	4	0	170	1033	709	32	-1	
5	1	19	1	4	1	170	1033	115	30	70.622559	μπορούν
5	1	19	1	4	2	299	1040	34	15	96.600327	να
5	1	19	1	4	3	350	1040	45	15	93.297882	τον
