level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2636	3490	-1	
2	1	1	0	0	0	747	36	1718	5	-1	
3	1	1	1	0	0	747	36	1718	5	-1	
4	1	1	1	1	0	747	36	1718	5	-1	
5	1	1	1	1	1	747	36	1718	5	95.000000	 
2	1	2	0	0	0	35	34	775	36	-1	
3	1	2	1	0	0	35	34	775	36	-1	
4	1	2	1	1	0	35	34	775	36	-1	
5	1	2	1	1	1	35	34	775	36	95.000000	 
2	1	3	0	0	0	38	88	36	23	-1	
3	1	3	1	0	0	38	88	36	23	-1	
4	1	3	1	1	0	38	88	36	23	-1	
5	1	3	1	1	1	38	88	36	23	95.000000	 
2	1	4	0	0	0	39	3073	36	84	-1	
3	1	4	1	0	0	39	3073	36	84	-1	
4	1	4	1	1	0	39	3073	36	84	-1	
5	1	4	1	1	1	39	3073	36	84	95.000000	 
2	1	5	0	0	0	242	161	208	22	-1	
3	1	5	1	0	0	242	161	208	22	-1	
4	1	5	1	1	0	242	161	208	22	-1	
5	1	5	1	1	1	242	162	38	21	67.599564	ΤΟ
5	1	5	1	1	2	296	161	154	22	55.540218	ΤΕΩΡΕΙΤΣΕ
2	1	6	0	0	0	212	198	725	161	-1	
3	1	6	1	0	0	212	198	725	161	-1	
4	1	6	1	1	0	212	198	725	161	-1	
5	1	6	1	1	1	212	198	725	161	95.000000	 
2	1	7	0	0	0	225	372	713	549	-1	
3	1	7	1	0	0	227	372	704	101	-1	
4	1	7	1	1	0	260	372	671	31	-1	
5	1	7	1	1	1	260	372	175	23	75.484703	ΤΕΝΝΗΣΕΙΣ:
5	1	7	1	1	2	449	374	20	21	92.334824	Ἡ
5	1	7	1	1	3	484	382	22	13	93.232849	κ.
5	1	7	1	1	4	520	374	99	29	59.926952	Γεωρχία
5	1	7	1	1	5	634	374	41	23	93.113167	Αν.
5	1	7	1	1	6	690	374	121	29	50.681400	Γκουζούλη
5	1	7	1	1	7	840	376	91	27	0.000000	Ύέννησε
4	1	7	1	2	0	228	409	710	30	-1	
5	1	7	1	2	1	228	416	39	21	48.349373	ατῃη
5	1	7	1	2	2	278	409	106	28	40.571434	Μαγούλα
5	1	7	1	2	3	397	410	100	28	39.591145	αγορόρω,
5	1	7	1	2	4	513	410	52	21	92.517509	εἶναι
5	1	7	1	2	5	580	411	101	27	19.153900	εγγονάνι
5	1	7	1	2	6	693	418	39	15	15.902313	«του
5	1	7	1	2	7	744	411	96	28	36.248051	Γιώργου.
5	1	7	1	2	8	870	411	68	22	79.006004	Ανασ.
4	1	7	1	3	0	227	444	174	29	-1	
5	1	7	1	3	1	227	444	129	29	57.268188	Τκουζούλη.
3	1	7	2	0	0	226	480	712	101	-1	
4	1	7	2	1	0	226	480	712	31	-1	
5	1	7	2	1	1	226	494	30	2	47.622482	---
5	1	7	2	1	2	265	480	31	22	95.274338	Το
5	1	7	2	1	3	308	481	74	28	79.145493	ζεύγος
5	1	7	2	1	4	395	475	27	27	91.902313	Ν.
5	1	7	2	1	5	435	481	149	29	46.364136	Σκρουμπέλρυ
5	1	7	2	1	6	598	489	29	18	95.898689	εις
5	1	7	2	1	7	637	481	64	22	53.191074	ΗΤΤΑ.
5	1	7	2	1	8	713	483	106	27	43.534389	απέκτησε
5	1	7	2	1	9	829	484	109	27	0.000000	ποριπσόκει
4	1	7	2	2	0	226	516	712	31	-1	
5	1	7	2	2	1	226	516	59	22	26.690323	--Ἡ
5	1	7	2	2	2	297	516	73	29	80.975075	Μαΐρη
5	1	7	2	2	3	385	517	72	30	67.530754	Τεωρ-
5	1	7	2	2	4	463	517	114	22	95.974724	Βασιλείου
5	1	7	2	2	5	591	517	23	22	79.545242	το
5	1	7	2	2	6	622	518	66	27	65.032730	«γένος
5	1	7	2	2	7	702	518	29	21	49.995724	Π.
5	1	7	2	2	8	747	518	131	28	32.878738	Παναγάκου
5	1	7	2	2	9	889	519	49	21	89.742165	απὲ-
4	1	7	2	3	0	226	553	295	28	-1	
5	1	7	2	3	1	226	559	66	22	0.000000	Ἄπησε
5	1	7	2	3	2	308	553	85	28	93.218399	δεύτερο
5	1	7	2	3	3	404	554	117	27	0.000000	χοριπσώκε.
3	1	7	3	0	0	226	585	710	68	-1	
4	1	7	3	1	0	228	585	708	49	-1	
5	1	7	3	1	1	228	602	30	3	33.905853	τε
5	1	7	3	1	2	264	588	37	22	46.251411	Το
5	1	7	3	1	3	316	589	75	28	83.094727	ζεύγος
5	1	7	3	1	4	403	585	94	49	70.863098	Βασίλης
5	1	7	3	1	5	510	586	41	36	54.208714	καν
5	1	7	3	1	6	551	585	117	49	39.304909	-Αήμηπρα
5	1	7	3	1	7	683	590	24	21	49.296776	Τ.
5	1	7	3	1	8	724	590	150	29	59.238552	Σκρουμπέλου
5	1	7	3	1	9	886	591	50	21	31.360550	απὀ-
4	1	7	3	2	0	226	631	212	22	-1	
5	1	7	3	2	1	226	631	65	22	0.000000	Ἄπησε
5	1	7	3	2	2	305	626	133	27	0.000000	ποριτσάμα.
